,ACTR3B,ANLN,BAG1,BCL2,BIRC5,BLVRA,CCNB1,CCNE1,CDC20,CDC6,CDCA1,CDH3,CENPF,CEP55,CXXC5,EGFR,ERBB2,ESR1,EXO1,FGFR4,FOXA1,FOXC1,GPR160,GRB7,KIF2C,KNTC2,KRT14,KRT17,KRT5,MAPT,MDM2,MELK,MIA,MKI67,MLPH,MMP11,MYBL2,MYC,NAT1,ORC6L,PGR,PHGDH,PTTG1,RRM2,SFRP1,SLC39A6,TMEM45B,TYMS,UBE2C,UBE2T
191,0.645,-0.205,0.494,1.7480000000000002,-0.556,-0.6990000000000001,-0.385,1.095,-0.015,0.151,1.652,0.0,0.302,-0.273,-1.069,0.0,-0.17600000000000002,0.0,0.0,0.0,0.0,-2.37,0.0,0.44,-1.755,1.271,0.039,-0.615,-1.736,0.0,0.0,0.44,0.0,-0.846,0.99,0.0,-2.773,0.679,0.0,0.0,0.0,-2.3819999999999997,-0.5870000000000001,0.887,0.151,-2.181,0.0,0.79,0.079,0.46
192,-1.0270000000000001,-3.5780000000000003,3.3089999999999997,0.04,-1.624,0.632,-2.407,-1.412,-1.604,-2.022,-3.0260000000000002,-1.038,-2.964,-2.59,0.972,-0.094,1.435,3.866,-3.0039999999999996,-1.4709999999999999,2.2030000000000003,-2.12,0.6940000000000001,0.684,-1.682,-2.029,0.361,-2.315,-1.4580000000000002,-0.13699999999999998,0.12,-2.187,-3.375,-0.052000000000000005,1.575,2.332,-2.7239999999999998,-1.855,4.225,-3.022,-0.027999999999999997,-3.261,-1.851,-2.931,-2.798,0.506,-0.612,-3.2,-1.415,-2.3480000000000003
193,0.049,-2.983,-0.01,0.59,0.059000000000000004,-1.5,-0.225,-0.289,0.218,-1.969,-1.577,-0.9279999999999999,-1.304,-1.93,-0.764,3.09,-0.506,0.0,-1.3530000000000002,-0.583,0.0,0.69,-2.089,0.5760000000000001,-0.289,-0.588,-0.21899999999999997,-2.465,-1.4580000000000002,0.14400000000000002,0.166,-0.99,-1.411,1.831,1.068,1.0659999999999998,-1.797,-0.836,0.128,-2.42,1.138,-0.431,-0.636,-1.505,0.77,-1.391,-4.123,-1.4,0.008,-1.485
194,0.078,-3.844,0.828,0.153,-2.801,1.8359999999999999,-2.503,-1.761,-3.02,-3.406,-3.255,-0.349,-2.79,-2.63,1.3130000000000002,0.363,2.193,2.929,-2.9730000000000003,-2.194,1.579,-0.94,1.521,0.48200000000000004,-3.1860000000000004,-2.5180000000000002,0.049,-0.5770000000000001,-1.2790000000000001,1.7919999999999998,0.033,-2.8339999999999996,-1.172,-3.158,0.853,4.488,-2.5860000000000003,-2.229,5.6129999999999995,-2.8789999999999996,0.36200000000000004,-2.773,-2.283,-3.179,-1.254,2.359,-1.5490000000000002,-3.21,-2.105,-2.069
195,-0.40399999999999997,-1.35,-0.41600000000000004,0.369,-2.246,1.034,-2.044,-1.399,-1.972,-2.9339999999999997,-1.7480000000000002,1.047,-1.5030000000000001,-1.1,-0.883,-0.278,0.852,3.924,-2.451,-1.9909999999999999,1.797,-1.4,0.7829999999999999,0.45,-2.576,-2.374,0.134,-0.344,-0.8740000000000001,0.7929999999999999,0.092,-1.651,-0.242,-1.005,0.843,2.176,-2.116,-2.931,3.613,-2.717,1.038,-3.4189999999999996,-2.204,-2.202,0.087,-1.179,-2.09,-3.38,-1.095,-1.854
196,-0.632,0.0,-0.27,0.203,-5.551,1.056,-4.293,-2.053,-3.435,0.0,0.0,0.353,-4.906000000000001,-5.357,1.486,-0.93,0.9359999999999999,3.341,0.0,-2.5789999999999997,2.2,-1.95,1.12,0.5770000000000001,-4.907,-4.325,-0.716,-2.89,-1.249,0.8859999999999999,0.7340000000000001,0.0,0.0,-4.12,0.72,4.234,-4.662,-3.7560000000000002,1.475,-3.523,2.842,-4.055,-4.801,-4.289,-2.108,0.797,1.922,-5.56,-3.323,-4.183
197,0.961,-2.3369999999999997,1.1520000000000001,0.192,-3.19,-1.275,-3.6430000000000002,-2.035,-2.377,-3.752,-3.28,-0.113,-2.872,-2.51,-1.16,-0.441,3.383,1.206,-2.8960000000000004,-1.74,1.983,-1.5,1.262,0.92,-3.591,-2.719,0.136,-1.143,-0.63,1.653,0.249,-3.54,-2.798,-2.82,0.6609999999999999,2.897,-2.823,-1.9180000000000001,4.1339999999999995,-3.139,0.41100000000000003,-4.473,-2.7769999999999997,-3.299,-2.129,0.569,-0.884,-3.49,-1.409,-2.006
198,-1.178,-5.114,2.891,0.818,-4.713,1.6230000000000002,-3.932,-1.786,-3.985,-3.013,-4.723,-1.264,-5.4110000000000005,0.0,0.39299999999999996,0.172,1.4240000000000002,4.09,0.0,-1.875,2.925,-2.05,1.6219999999999999,0.5,-3.877,-4.0569999999999995,-0.10300000000000001,-1.686,-0.601,1.706,0.8320000000000001,-4.038,-2.443,-3.6430000000000002,1.6580000000000001,3.3339999999999996,-4.227,-2.6839999999999997,4.803999999999999,-3.497,0.45899999999999996,-2.282,-3.531,-4.5360000000000005,-2.0269999999999997,2.904,-3.4339999999999997,-3.36,-1.9809999999999999,-3.083
199,-0.998,-2.4859999999999998,2.761,0.98,-1.817,1.9040000000000001,-3.082,-1.545,-1.056,-2.3280000000000003,-2.539,-1.524,-2.5669999999999997,-2.02,1.945,-0.158,2.8360000000000003,4.243,-2.5269999999999997,-1.963,3.3139999999999996,-1.2,-0.6759999999999999,1.186,-1.906,-1.807,-0.424,-2.6180000000000003,-1.984,1.3090000000000002,0.7909999999999999,-2.092,0.0,-0.21600000000000003,1.264,2.023,-0.26899999999999996,-1.719,2.835,-3.83,1.148,-5.197,-2.209,-3.384,-2.9610000000000003,1.817,0.593,-2.0,-1.239,-2.476
200,-0.7090000000000001,-2.8810000000000002,0.163,0.887,-2.58,-0.055,-1.94,-2.1069999999999998,-1.3159999999999998,-2.9419999999999997,-2.206,-1.3019999999999998,-1.8869999999999998,-2.52,1.127,-0.15,1.7990000000000002,2.471,-2.553,-2.093,2.2680000000000002,-2.36,1.194,1.135,-2.678,-1.3780000000000001,-0.342,-1.386,-1.3459999999999999,0.207,0.0,-2.529,-3.5269999999999997,-1.3630000000000002,2.335,5.4270000000000005,-3.492,-1.169,3.378,-3.2680000000000002,0.89,-2.96,-1.4369999999999998,-1.973,-2.778,0.111,0.318,-3.45,-1.483,-1.156
201,1.858,-3.35,2.657,0.551,-4.525,-0.053,-3.678,-2.238,-2.542,-2.659,-4.563,-0.7390000000000001,-4.245,-4.12,1.016,-0.537,2.012,3.511,0.0,-2.7060000000000004,3.7880000000000003,-1.85,1.903,0.42200000000000004,-4.5889999999999995,-3.997,0.299,-0.623,-0.561,1.047,0.635,-3.162,-1.338,-3.1039999999999996,1.412,4.184,-4.486000000000001,-2.847,5.289,-3.6439999999999997,2.884,-2.89,-3.424,-4.513,-1.9580000000000002,1.4180000000000001,-2.7110000000000003,-4.86,-2.182,-2.89
